city_id,city_name_nl,city_name_en,city_name_fr,city_name_de,province_or_region,count_boroughs,pop_in_2000,pop_in_2024,area_km2,pop_per_km2,prosperity_index,pop_increase_2024v2000_percent
37,Malle,Malle,Malle,Malle,Antwerpen,2,13922,16194,51.9,312,109.5,16.32
106,Châtelet,Châtelet,Châtelet,Châtelet,Henegouwen,3,35452,35595,27.35,1301,75.9,0.4
112,Edingen,Enghien,Enghien,Enghien,Henegouwen,3,10863,14509,39.4,368,106.4,33.56
232,Fléron,Fléron,Fléron,Fléron,Luik,4,15891,16380,13.68,1197,93.5,3.08
245,Lijsem,Lincent,Lincent,Lincent,Luik,3,2806,3375,14.73,229,109.2,20.28
293,Daverdisse,Daverdisse,Daverdisse,Daverdisse,Luxemburg,4,1360,1426,56.87,25,86.2,4.85
322,Tellin,Tellin,Tellin,Tellin,Luxemburg,4,2229,2539,56.95,45,93.6,13.91
345,Gembloux,Gembloux,Gembloux,Gembloux,Namen,12,20484,26496,96.48,275,110.4,29.35
359,Rochefort,Rochefort,Rochefort,Rochefort,Namen,11,11747,12716,166.34,76,92.7,8.25
385,Haaltert,Haaltert,Haaltert,Haaltert,Oost-Vlaanderen,4,17274,19402,30.52,636,114.3,12.32
417,Temse,Temse,Tamise,Temse,Oost-Vlaanderen,4,25533,31271,40.1,780,106.2,22.47
524,Beernem,Beernem,Beernem,Beernem,West-Vlaanderen,3,14525,16259,72.42,225,107.1,11.94
43,Niel,Niel,Niel,Niel,Antwerpen,1,8405,10966,5.35,2050,101.2,30.47
79,Schaarbeek,Schaerbeek,Schaerbeek,Schaerbeek,Brussels Hoofdstedelijk Gewest,1,105692,130405,7.9,16507,68.9,23.38
84,Sint-Lambrechts-Woluwe,Woluwe-Saint-Lambert,Woluwe-Saint-Lambert,Woluwe-Saint-Lambert,Brussels Hoofdstedelijk Gewest,1,46528,60771,7.29,8336,93.4,30.61
131,Lens,Lens,Lens,Lens,Henegouwen,5,3729,4636,49.83,93,97.1,24.32
289,Bertogne,Bertogne,Bertogne,Bertogne,Luxemburg,3,2724,3767,91.66,41,92.3,38.29
305,Libin,Libin,Libin,Libin,Luxemburg,7,4341,5351,140.58,38,97.8,23.27
545,Koekelare,Koekelare,Koekelare,Koekelare,West-Vlaanderen,3,8154,8827,39.44,224,97.2,8.25
13,Brasschaat,Brasschaat,Brasschaat,Brasschaat,Antwerpen,1,37138,38470,38.58,997,121.9,3.59
25,Herselt,Herselt,Herselt,Herselt,Antwerpen,2,13632,14838,52.37,283,107.3,8.85
54,Schelle,Schelle,Schelle,Schelle,Antwerpen,1,7743,8614,7.83,1100,112.8,11.25
63,Wijnegem,Wijnegem,Wijnegem,Wijnegem,Antwerpen,1,8660,10580,7.88,1343,109.6,22.17
75,Ganshoren,Ganshoren,Ganshoren,Ganshoren,Brussels Hoofdstedelijk Gewest,1,19757,25564,2.44,10477,80.2,29.39
